πεντηκόντερος	πεντηκοντέρους
πέπνυμαι	πεπνυμένος
πείθω	πεποιθότες
πέρ	περ
περιπατέω	περιεπάτει
περιπατέω	περιπατοῦντας
περισσῶς	περισσοτέρως
περισσός	περισσότερον
περισσῶς	περισσῶς
περιτομή	περιτομῆς
περιχαρής	περιχαρής
πίπτω	πεσόντα
πίπτω	πεσόντος
πετεινόν	πετεινά
πίνω	πεῖν
πεῖρα	πεῖραν
πηλός	πηλόν
πῆχυς	πηχέων
πιστεύω	πιστεύσαντες
πλάνη	πλάνης
πλέω	πλέοντες
πλῆθος	πλήθεϊ
πολύς	πλειόνων
πλευρά	πλευράν
πληγή	πληγάς
πληθύς	πληθύν
πληρόω	πληρώσαντες
πλήσσω	πλῆξ̓
πνεῦμα	πνεύματός
πνεῦμα	πνεῦμά
πνοή	πνοιῇ
πούς	ποδοῖιν
ποιέω	ποεῖν
ποτέ	ποθ̓
ποιέω	ποιήσαντες
ποιέω	ποιήσαντι
ποιέω	ποιήσασι
ποιέω	ποιεύμενοι
ποιέω	ποιεῦντες
ποιέω	ποιησάμενοι
ποικίλος	ποικίλα
ποικίλος	ποικίλαις
ποικίλος	ποικίλον
ποιέω	ποιοῦντες
πόλεμος	πολέμου
πολίτης	πολίταις
πολίτης	πολιήτας
πολύς	πολλά
πολλάκις	πολλάκι
πολύς	πολλάς
πολύς	πολύ
πολύς	πολύν
πορεύομαι	πορευθέντες
πορεύομαι	πορεύεσθε
πορεύομαι	πορεύομαι
πορεύομαι	πορεύου
ποτέ	ποτ̓
πού	που
πρᾶγμα	πράγματος
πρᾶγμα	πρήγμασι
πρᾶγμα	πρήγματα
πράσσω	πρήσσειν
πράσσω	πραττομένοις
πρέσβυς	πρεσβυτέρους
πρέσβυς	πρεσβυτέρων
πρέσβυς	πρεσβύτατον
πρέσβυς	πρεσβύτεροι
πρᾶγμα	πρηγμάτων
πρηνής	πρηνής
προίημι	προΐει
προίημι	προέηκε
προθυμία	προθυμίην
πρόκειμαι	προκείμενα
προσκυνέω	προσεκύνησαν
προσέρχομαι	προσελθόντες
προσεύχομαι	προσευχόμενοι
προσεύχομαι	προσηύξατο
προσεύχομαι	προσηύχετο
προσκαλέω	προσκαλεσάμενος
προσκαρτερέω	προσκαρτεροῦντες
προσκυνέω	προσκυνοῦντας
προστάσσω	προστάξας
προσέρχομαι	προσῆλθεν
προτέρω	προτέρω
πρόσθεν	πρόσθ̓
πρότερος	πρότερόν
πόλεμος	πτολέμοιο
πολεμίζω	πτολεμίζειν
πόλις	πτόλιν
πύλη	πυλάων
πυνθάνομαι	πυνθανόμενοι
πυρή	πυρήν
πωλέω	πωλοῦντας
πόθεν	πόθεν
πόλεμος	πόλεμόν
πολύς	πόλλ̓
πόρω	πόρε
πόρω	πόρεν
πόρος	πόρον
πόσος	πόσους
πότε	πότε
πύλη	πύλας
πύλη	πύλῃσι
πύργος	πύργον
πύργος	πύργου
πύργος	πύργους
πύργος	πύργων
πύργος	πύργῳ
πῆ	πᾷ
